NameR366,MasterID_...2,SampleIDNO,Watersourcetype,watersourcetype2,Dateofvisit2,Division,Parish,Villagetown,Sampletaken,Riskofcontamination10,Topography,LandcoverUnDevelopedorDeveloped,Turbidity,pH,Temp_°C,Electricalconductivity,functionalV1,knownfunctionalproblem,SampleIDNO_R366,MasterID__A,NameR366_A,MasterID__B,__1_1WaterSourceNameNyingwangpii,InterviewersCode,CompletedDateddmmNinodweemakitye,_1_1_WaterSourceIdentificationN,MasterID__C,_1_1name,_1_1subcounty,_1_1Parish,_1_2_a_WUCmgmt,_1_2_b_privmgt,_1_2_c_NGOmgmt,_1_2_d_Unmanaged,_1_7Acholi,_1_7English,_1_7LangOther,_1_9_Positionrespond,_2_1_responsible,_2_2_a_Caretaker,_2_2_b_ caretakerpaid,_2_2_c_ caretakerwage,_2_2_d_caretakerhours,_2_3_inspectorvisits,_2_4WUCAdmin,_2_4WUCfeecollect,_2_4WUCfinmgmt,_2_4WUCtechnical,_2_4WUCother,_2_5_meetatt,_2_6_meetsched,_2_7_ meetmonth,_2_8_meetcommunity,_2_9_meetminutes,_2_10_minutesviewed,_2_11_WUCpay80,_2_12_a_ pubmeet,_2_12_b_pubmeetyear,_2_13_a_meetaccount,_2_13_b_meetaccountyr,_3_1_a_functional,functionalinferred,_3_1_b_openallday,_3_1_c_opentimes,_3_1_d_primaryuse,_3_1_e_whynffees,_3_1_e_whynffinmgmt,_3_1_e_whynfctech,_3_1_e_whynfadmin,_3_1_e_whynfother,_3_1_e_whynfotherB,_3_1_f_Howlongnf,_3_2_firstdaylastbreak,_3_3_a_lengthbreakdown,_3_3_b_costrepair,_3_3_d_nowater,_3_3_d_notenoughwater,_3_3_d_contaminated,_3_3_d_otherproblem,_3_4_a_breaklastyear,_3_4_b_breaklast2weeks,_3_5_a_pplcantaccess,_3_5_b_pplcantafford,_3_5_c_useunimproved,_3_5_c_neighborhelp,_3_5_c_dontknow,_3_5_c_other,_3_6_enoughwater,_4_0_yearbuilt,_4_1_datebuilt,_4_2_regularuserhhs,_4_3_a_authorizedlist,_4_3_b_authorizedhhs,AuthorizedusersdividedbyAllUsers,_4_3_c_updateduserlist,_4_3_d_listshown,__4_3_e_Howmanyhouseholdsareonth,VerifiedusersdividedbyAllUsers,_4_4_feecollectionsystem,_4_5_feeregular,_4_6_a_monthlyfee,_4_6_a_perJCfee,_4_6_a_otherfeetype,_4_6_a_otherfeetypeB,_4_6_b_percentfeesmonthly,_4_6_b_percentfeesperJC,_4_6_b_percentfeesother,_4_6_b_percentfeesdontknow,_4_7_HHswhopaid,_4_8_idealfeecollection,Idealfeesdividedbyallusers,_4_9_actualmonthlyfees,Actualfeesdividedbyidealfees,reportedfeesdividedbyallusers,_4_10_knownHHscantpay,_4_11_a_feecollectrecords,_4_11_b_feerecordsshown,_4_11_c_recordedfeeslastmonth,verifiedfeesdividedbyallusers,_4_12_reactive,_4_13_reportedsavings,_4_14_a_finmgmtrecords,_4_24_b_finmgmtrecshown,_4_14_b_namenumber,_4_14_c_verifiedsavings,__4_14_cDateofrecord,__4_15_savingsstorage,_4_15_savingsstorageother,_4_16_fencing,_4_16_sanitation,_4_16_dontknow,_4_16_fundsaccumulate,_4_16_preventmaint,_4_16_refunds,_4_16_neverrepair,_4_16_othernonwash,_4_16_othernonwashB,_4_17_planOandM,_4_18_enoughfundsrepair,_4_19_personrepair,_4_20_persontrained,_5_0_latrineaccess,_5_1_a_facilitator,_5_1_b_facilitatoryear,_5_1_b_facilitatordate,_5_1_c_whofacilitated,_5_1_c_whofacilitatedother,_5_2_a_ODFdeclaration,_5_2_b_ODFwhen,_6_1_irritated,_6_2_trustworthy,_6_3_interviewquality,_6_4_familypresent,_6_4_nonfamilypresent,_6_4_Totalpresent,_6_5_comments,TTC,TTCGE1,TTCGE10,TTCGE50,TTCGE100,TTCGE125,Unmanaged,MasterID_...165,Superclean_ID,latitude,longitude,OBJECTID2,Proxalt,ProxNWSC,Proxaltfunc,ProxaltfuncNWSC,Proxbore,Proxfuncbore,Proxprotect,Proxfuncprotect,ProxfuncprotectNWSC,ProxTC,Proxmarsh,ProxfunctTTC<125,ProxfunctprotectTTC<125,ProxfunctprotectTTC<125NWSC,Avgprox3func,Avgprox3funcNWSC,Avgprox3funcprotect,Avgprox3funcprotectNWSC
Wang Winyo,76,81,PS,5,3/20/18,Pece,Pawel,Pawel,1,7,0,1,1,5.61,25.5,176/87,1,1,81,76,Wang Winyo,76,WANG WINYO,4,26/8,76,76,WANG WINYO,2,2,NA,NA,NA,1,1,NA,NA,6,8,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,1,NA,Don’t knowPe angeyo,80,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,90,NA,NA,NA,NA,NA,Don’t knowPe angeyo,NA,0,1,0,0,1,1,NA,125,1,1,1,1,1,1,76,293,2.7672,32.3175,296,195.8718076,190.340756,195.8718076,190.340756,663.308677,663.308677,195.8718076,195.8718076,195.8718076,2235.158969,1.149570471,195.8718076,195.8718076,195.8718076,257.2811332,223.9081379,258.9523685,223.9081379
Wang Dr. Okol BH,77,82,DWWHP,4,3/19/18,Pece,Pawel,Pawel,1,4,0,1,0,5.5,25.3,84/42,1,0,82,77,Wang Dr. Okol BH,77,WANG DR OKOL,6,29/10,77,77,WANG DR OKOL,2,2,NA,1,NA,0,1,NA,NA,3,6,1,1,50000,360,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,3/8/18,15,2.00E+05,1,NA,NA,NA,1,NA,3,3,NA,NA,NA,FREE ACCESS AND ASK FOR HELP,1,NA,Don’t knowPe angeyo,80,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,100  PER 20L JERRYCAN,NA,NA,100,NA,NA,NA,NA,NA,1.00E+05,NA,1250,3,0,NA,NA,NA,3,NA,0,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,NA,100,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,NA,15,1,1,0,0,0,0,77,287,2.767966667,32.31591667,291,119.9146313,220.2428003,119.9146313,119.9146313,621.7507453,621.7507453,195.8718076,195.8718076,195.8718076,2044.677702,89.35442807,621.7507453,621.7507453,621.7507453,264.0457266,178.6764131,384.806974,230.6408
Wang Oceng,78,83,ODW,3,3/19/18,Pece,Pawel,Pawel,1,8,0,1,1,5.82,25,148/74,1,1,83,78,Wang Oceng,78,WANG OCENG,6,29/10,78,78,WANG OCENG,2,2,NA,NA,NA,1,1,NA,NA,5,8,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,NA,NA,1,2017,29/10/2017,50,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,100,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,NA,125,1,1,1,1,1,1,78,280,2.767566667,32.31491667,286,119.9146313,168.0549799,119.9146313,119.9146313,509.3460632,509.3460632,119.9146313,119.9146313,119.9146313,1945.919514,17.28814559,119.9146313,119.9146313,119.9146313,306.5734789,154.4452935,306.5734789,154.4452935
Wang Lukiko,79,84,DWWHP,4,3/19/18,Laroo,Pece Prison,Forest,1,5,0,1,0,5.66,25.8,70/35,1,0,84,79,Wang Lukiko,79,WAND LUKIIKO,4,26/08,79,79,WAND LUKIIKO,1,1,1,NA,NA,0,NA,1,NA,1,2,0,0,NA,NA,0,1,1,1,1,NA,9,3,NA,NA,NA,NA,0,0,NA,NA,NA,1,1,0,1,4,NA,NA,NA,NA,NA,NA,NA,6/6/18,30,250000,NA,1,NA,NA,0,0,3,4,NA,NA,NA,HELPED BY ABLE PEOPLE,1,NA,Don’t knowPe angeyo,70,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,90,0,NA,NA,NA,NA,0,NA,0,1,0,0,1,1,NA,84.5,1,1,1,0,0,0,79,302,2.780683333,32.31883333,305,53.95976742,129.2110508,53.95976742,53.95976742,53.95976742,53.95976742,53.95976742,53.95976742,53.95976742,2532.329071,26.73197766,53.95976742,53.95976742,53.95976742,180.0711137,134.7028394,238.1838417,149.4955639
Wang Obwona,80,85,PS,5,3/21/18,Pece,Pudyek,Pudyek,1,6,0,1,0,5.38,26.5,59/29,1,0,85,80,Wang Obwona,80,WANG OBWONA,6,30/10,80,80,WANG OBWONA,2,2,NA,NA,NA,1,1,NA,NA,6,8,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,ASK FOR HELP,1,NA,Don’t knowPe angeyo,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,1. LC 1 Travelled to Anaka in Nwoya District  2. the LC 1 when contacted said he was in his farm in Anaka Nwoya District to harvest his groundnuts his date of return was indefinite,13,1,1,0,0,0,1,80,336,2.766083333,32.32531667,338,181.3450992,517.9416799,181.3450992,181.3450992,369.2739289,369.2739289,181.3450992,181.3450992,181.3450992,3111.903046,7.306463856,239.3531092,239.3531092,239.3531092,241.8691706,241.8691706,263.3240458,263.3240458
Wang Tiga,81,86,PS,5,3/21/18,Pece,Pudyek,Pawel,1,9,0,1,1,5.52,26.3,80/40,1,1,86,81,Wang Tiga,81,WANG TIGA,4,9-Mar,81,81,WANG TIGA,2,2,NA,NA,NA,1,1,NA,NA,5,8,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,0,0,3,3,NA,NA,NA,HELPED BY NEIGHBORS,1,NA,Don’t knowPe angeyo,50,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,80,0,NA,NA,NA,NA,Don’t knowPe angeyo,NA,0,0,2,NA,NA,1,THE RESPONDENT WAS SO MUCH SPEAKING IN FAVOUR OF HIS PEOPLE BECAUSE THE AREAS LOOKS TO BE AREA OD ABLE PEOPLE,125,1,1,1,1,1,1,81,329,2.765883333,32.3237,331,181.3450992,422.4728013,181.3450992,181.3450992,520.4868221,520.4868221,181.3450992,181.3450992,181.3450992,2940.686275,2.220955605,181.3450992,181.3450992,181.3450992,218.1130205,218.1130205,315.6560712,315.6560712
Wang Mark,82,87,ODW,3,3/21/18,Pece,Cubu,Pudyek,1,9,0,1,0,5.75,26.9,95/47,1,0,87,82,Wang Mark,82,WANG MARK,4,9-Oct,82,82,WANG MARK,2,2,NA,1,NA,0,1,NA,NA,7,6,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2013,2013,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,98,NA,NA,NA,NA,NA,Don’t knowPe angeyo,NA,0,1,0,0,0,1,NA,125,1,1,1,1,1,0,82,323,2.7631,32.3227,325,139.459767,98.45222427,139.459767,98.45222427,503.396468,503.396468,329.5663152,329.5663152,329.5663152,2918.986684,28.72641216,349.4858328,349.4858328,349.4858328,145.1775346,128.4259442,367.8176828,197.8336727
Holy Family BH,83,89,BWHP,1,3/21/18,Pece,Aywee,Aywee,1,5,2,0,0,5.27,26.7,24us/122pp,1,1,89,83,Holy Family BH,83,HOLY FAMILY BOREHOLE,1,27/08,83,83,HOLY FAMILY BOREHOLE,2,2,NA,NA,1,0,1,NA,NA,8,1,1,1,30000,300,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,4,NA,NA,NA,NA,NA,NA,NA,15/8/2017,30,450000,1,NA,NA,NA,1,0,Don’t knowPe angeyo,20,NA,NA,NA,ALLOWED TO FETCH FOR FREE,0,2008,2008,40,1,40,1,0,NA,NA,NA,1,1,NA,5,NA,NA,NA,100,NA,NA,35,90000,2250,90000,1,2250,6,0,NA,NA,NA,4,NA,0,NA,NA,NA,NA,5,CHURCH TREASURER,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,0,0,100,NA,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,NOT ABLE TO VIEW THE RECORDS BECAUSE THE RECORDS ARE KEPT WITH THE PARISH CHAIRMAN AND THE MONEY COLLECTED HAS NO RECORDS BECAUSE ITS KEPT AND SPENT BY THE CHURCH,17,1,1,0,0,0,0,83,259,2.764366667,32.31165,267,78.02873573,286.9475425,78.02873573,78.02873573,78.02873573,78.02873573,78.02873573,78.02873573,78.02873573,1732.157586,330.1530614,78.02873573,78.02873573,78.02873573,264.3747588,223.387893,264.3747588,223.387893
Wang Auma Rose BH,84,90,DWWHP,4,3/22/18,Pece,Cubu,Cubu,1,6,0,1,0,5.39,25.2,38/ 19,1,1,90,84,Wang Auma Rose BH,84,WANG AUMA ROSE,1,27/08,84,237,WANG AUMA ROSE,2,2,1,NA,NA,0,1,NA,NA,1,2,1,0,NA,NA,0,1,1,NA,1,NA,5,1,0,40,1,0,1,1,1,1,1,1,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,15/3/2017,1,211000,1,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,1,NA,Don’t knowPe angeyo,16,1,16,1,0,1,NA,NA,1,1,1000,NA,NA,NA,100,NA,NA,NA,16,16000,1000,16000,1,1000,0,1,Refused,NA,NA,2,42000,1,0,NA,NA,NA,5,SAVED MONEY IS STORED WITH THE TREASURER,1,NA,NA,1,1,NA,NA,NA,NA,0,0,0,0,100,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,Treasurer that was put in place transferred and now both the care taking and money keeping is being done by Auma Rose who lives by the water point so she is both the treasurer and the caretaker,4,1,0,0,0,0,0,84,339,2.7642,32.32635,341,239.3531092,459.1319604,239.3531092,239.3531092,243.2270974,243.2270974,239.3531092,239.3531092,239.3531092,3271.947233,15.67976076,239.3531092,239.3531092,239.3531092,254.5107769,254.5107769,277.3945235,277.3945235
Okwera Edward BH,85,91,BHWHP,1,3/22/18,Pece,Cubu Acoyo,Cubu,1,5,2,0,0,5.54,26.9,2,1,0,91,85,Okwera Edward BH,85,OKWERA ALFRED,1,27/8,85,85,OKWERA ALFRED,2,2,NA,1,NA,0,1,NA,NA,7,6,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,15/9/2017,7,3.00E+05,1,NA,NA,NA,1,0,0,5,NA,NA,NA,FETCH  FROM ANOTHER SOURCE,1,2015,2015,24,1,24,1,1,Don’t knowPe angeyo,NA,NA,1,1,3000,NA,NA,NA,100,NA,NA,NA,8,NA,NA,30000,NA,1250,NA,1,Records do not existPe tye,NA,NA,4,NA,0,NA,NA,NA,NA,5,KEPT WITH THE OWNER,NA,1,NA,NA,1,NA,NA,1,NA,0,1,0,0,100,1,2016,2016,NA,NA,0,NA,0,1,0,0,0,0,"EVEN THE CARETAKER SEEM MORE KNOWLEDGEABLE THAN THE OWNER    THERE WAS ABIT OF INCONSISTENCE IN THE RESPONSE AS THE OWNER WASN'T SUE OF EVERYTHING ABOUT THE BOREHOLE AND IT SOMEHOW, SOMEWHERE AFFECTED THE INTERVIEW",10.5,1,1,0,0,0,0,85,345,2.764116667,32.32853333,347,243.2270974,679.3358942,243.2270974,243.2270974,422.1551384,422.1551384,243.2270974,243.2270974,243.2270974,3509.691,91.76087964,243.2270974,243.2270974,243.2270974,361.738972,361.738972,361.738972,361.738972
Cubu P/S BH,86,92,BHWHP,1,3/22/18,Pece,Cubu,Cubu,1,4,2,0,0,6.22,27,124/62,1,0,92,86,Cubu P/S BH,86,CUBU P/S BOREHOLE,1,27/8,86,86,CUBU P/S BOREHOLE,2,2,NA,NA,1,0,NA,1,NA,8,9,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,4,NA,NA,NA,NA,NA,NA,NA,Dec-17,65,NA,NA,1,NA,NA,1,0,Don’t knowPe angeyo,50,Use an unimproved water source,NA,NA,PAY PEOPLE TO FETCH FOR THEM,NA,35,35,35,1,25,0.714285714,1,Don’t knowPe angeyo,NA,NA,1,1,2000,NA,NA,NA,100,NA,NA,NA,22,0,0,48000,NA,1371.428589,NA,1,1,44000,1257.142822,4,NA,0,NA,NA,NA,NA,5,SCHOOL ACCOUNT,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,Don’t knowPe angeyo,NA,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,86,343,2.76035,32.32813333,345,233.4670242,635.9956802,422.1551384,422.1551384,233.4670242,422.1551384,233.4670242,422.1551384,422.1551384,3592.093286,480.3606256,422.1551384,422.1551384,422.1551384,490.6150464,490.6150464,490.6150464,490.6150464
Wang Aciro,87,93,ODW,3,3/22/18,Pece,Cubu,Cubu,1,4,0,0,0,5.4,27.3,48/24,1,0,93,87,Wang Aciro,87,WANG ACIRO,4,9-Oct,87,87,WANG ACIRO,2,2,NA,1,NA,0,1,NA,NA,7,6,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,2012,2/7/12,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,NA,NA,NA,NA,NA,Don’t knowPe angeyo,NA,0,1,0,0,1,1,INTERVIEW WENT ON WELL,9.5,1,0,0,0,0,0,87,352,2.758333333,32.33533333,352,311.4691381,1467.762385,311.4691381,311.4691381,703.2901598,832.4150482,703.2901598,832.4150482,832.4150482,4421.966706,14.43027313,832.4150482,832.4150482,832.4150482,712.6971836,712.6971836,1007.138939,1007.138939
Wany Yoli,88,94,ODW,3,3/22/18,Pece,Cubu,Cubu,1,8,0,1,0,5.09,26.8,37/18,1,0,94,88,Wany Yoli,88,WANG YOLI,4,9-Oct,88,88,WANG YOLI,2,2,NA,1,NA,0,1,NA,NA,7,6,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,The water source has never broken down,NA,NA,NA,NA,NA,NA,0,NA,2,0,NA,NA,NA,NA,1,2010,2010,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,0,NA,NA,NA,NA,Don’t knowPe angeyo,NA,0,1,0,1,0,1,INTERVIEW WENT ON WELL,125,1,1,1,1,1,0,88,351,2.755816667,32.33411667,351,311.4691381,1454.047427,311.4691381,311.4691381,639.0992593,835.9983711,629.3157841,835.9983711,835.9983711,4399.915086,0,311.4691381,835.9983711,835.9983711,681.4659287,681.4659287,949.1234104,949.1234104
Wang Lubot,89,96,ODW,3,3/21/18,Pece,Cubu,Cubu,1,10,0,1,1,5.58,26.3,76/38,1,0,96,89,Wang Lubot,89,WANG LUBOT,5,27/08,89,89,WANG LUBOT,2,2,NA,1,NA,0,1,NA,NA,7,8,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,1/2/17,90,0,1,NA,NA,NA,1,0,0,0,NA,NA,NA,NA,1,1998,27/8/1998,30,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,95,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,NA,125,1,1,1,1,1,1,89,317,2.763183333,32.32145,319,139.459767,92.7145858,139.459767,92.7145858,546.9718817,546.9718817,247.4953101,247.4953101,247.4953101,2784.758802,0,247.4953101,247.4953101,247.4953101,220.1874824,126.1694286,357.2756253,162.1812763
Bus Park,90,97,BHWHP,1,3/21/18,Pece,Bus park,Bus park,1,0,2,1,0,5.87,27.8,227/113,1,0,97,90,Bus Park,90,BUSPARK BH,0,19/9,90,90,BUSPARK BH,2,2,1,NA,NA,0,1,NA,NA,1,2,1,1,90000,360,1,1,1,NA,1,NA,7,1,0.167,0,1,2,NA,0,NA,0,NA,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,15/9/2018,1,34000,1,NA,NA,NA,1,1,Don’t knowPe angeyo,0,NA,NA,NA,NA,1,1970,1970,20,0,15,0.75,NA,NA,NA,NA,1,1,NA,5,100  PER 20L JERRYCAN,NA,NA,100,NA,NA,NA,NA,NA,75000,NA,3750,0,1,Records do not existPe tye,NA,NA,4,3.00E+06,1,0,NA,NA,NA,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,1,1,100,NA,NA,NA,NA,NA,Don’t knowPe angeyo,NA,0,1,0,0,5,5,NA,0,0,0,0,0,0,0,90,179,2.7708,32.29918333,192,325.3485591,84.10431066,325.3485591,84.10431066,325.3485591,325.3485591,325.3485591,325.3485591,325.3485591,171.9049784,445.6261289,325.3485591,325.3485591,325.3485591,347.6523146,91.28165495,347.6523146,91.28165495
Wang Pe Nongi Labedo,91,99,ODW,3,3/21/18,Pece,Cubu,Cubu,1,7,0,1,0,5.44,27.7,61/30,1,0,99,91,Wang Pe Nongi Labedo,91,WANG PENONGI LABEDO,5,27/8,91,91,WANG PENONGI LABEDO,2,2,NA,1,NA,0,1,NA,NA,7,8,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,27/4/2018,120,NA,NA,NA,NA,NA,1,1,0,0,NA,NA,NA,NA,1,1998,27/8/1998,3,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,95,0,NA,NA,NA,NA,1,Don't knowPe angeyo,0,1,0,NA,NA,NA,NA,125,1,1,1,1,1,1,91,330,2.763783333,32.32383333,332,5.25380814,213.1276945,5.25380814,5.25380814,524.5172662,524.5172662,234.5106482,234.5106482,234.5106482,3015.240219,0,283.97142,283.97142,283.97142,129.0434326,121.9157813,274.4637905,243.8699209
Wang Mariana,92,100,ODW,3,3/21/18,Pece,Cubu,Cubu,1,8,0,1,0,5.87,24.9,104us/52ppm,1,0,100,92,Wang Mariana,92,WANG Mariana,5,27/8,92,92,WANG Mariana,2,2,NA,NA,NA,1,1,1,NA,5,8,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,27/8/2010,360,NA,NA,NA,NA,NA,0,NA,50,Don’t knowPe angeyo,NA,NA,NA,Send children,1,NA,Don’t knowPe angeyo,500,0,NA,NA,NA,NA,NA,NA,1,1,1000,NA,NA,NA,100,NA,NA,NA,NA,5.00E+05,1000,70000,0.140000001,140,200,NA,NA,NA,NA,4,NA,0,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0,0,70,0,NA,NA,NA,NA,0,NA,0,2,1,0,0,0,I THINK THE LC 1 OVER ESTIMATED THE NUMBER OF HOUSEHOLDS,125,1,1,1,1,1,1,92,332,2.76375,32.32386667,334,5.25380814,212.2734491,5.25380814,5.25380814,521.0952092,521.0952092,238.4833143,238.4833143,238.4833143,3019.878139,0,280.9521242,280.9521242,280.9521242,130.814706,122.0780842,275.1686678,243.9029625
Wang Ochora,93,101,DWWHP,4,3/22/18,Pece,Cubu,Cubu,1,7,0,1,0,5.31,27.2,45/22,1,1,101,93,Wang Ochora,93,WANG OCHORA,5,27/8,93,93,WANG OCHORA,2,2,NA,1,NA,0,1,NA,NA,3,6,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1,NA,1,BOREHOLE PARTS WERE STOLEN AT NIGHT,120,27/4/2018,NA,NA,NA,NA,NA,NA,NA,NA,5,Don’t knowPe angeyo,NA,NA,NA,Send children,1,2000,15/5/2000,30,0,NA,NA,NA,NA,NA,NA,1,1,1000,NA,NA,NA,100,NA,NA,NA,NA,30000,1000,NA,NA,NA,5,1,CONCY: Please re-enter any responses from here to the space below.,NA,NA,4,NA,0,NA,NA,NA,NA,4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,0,0,0,0,80,0,NA,NA,NA,NA,0,NA,0,1,0,0,0,0,The water point owner had traveled and his return date was not known so his son who is the caretaker was interviewed,6.5,1,0,0,0,0,0,93,350,2.751116667,32.33098333,24,296.318738,1498.381441,296.318738,296.318738,846.1047742,1013.147975,296.318738,296.318738,296.318738,4336.008819,0,296.318738,296.318738,296.318738,470.4346482,470.4346482,667.5798878,667.5798878
