"term","estimate","std.error","statistic","df","p.value","lcl","ucl"
"(Intercept)",2.6123951984573,0.180800099107867,14.4490805665915,126.170694175737,0,2.25802700420588,2.96676339270872
"riskofcontamination10",0.204594619986889,0.163825289430445,1.24885859013699,146.238065419879,0.213712262237941,-0.116502947296783,0.525692187270561
"watersourcetype23",1.96331212348318,0.700327312353368,2.80342075605433,143.248736524362,0.00575771034097716,0.590670591270578,3.33595365569578
"watersourcetype25",4.87610837564636,0.999592984353195,4.87809383616427,171.368634234503,0.00000243372190533719,2.9169061263141,6.83531062497862
"x3_1_d_primaryuse1",2.60476159932558,1.20002720235186,2.17058546191342,10.7057388634084,0.0533793102288489,0.252708282715931,4.95681491593523
"x4_19_personrepair1",-0.888729343058856,0.255358757239596,-3.4803166833436,167.339631467795,0.000638716901173231,-1.38923250724846,-0.388226178869247
