"term","estimate","std.error","statistic","df","p.value","lcl","ucl"
"(Intercept)",2.53502030690591,0.178346912475595,14.2139848215921,172.453970949535,0,2.18546035845375,2.88458025535808
"riskofcontamination10",0.193672815909257,0.159966458744565,1.2107089037866,172.442729185061,0.227663747289709,-0.11986144323009,0.507207075048603
"watersourcetype23",1.21946122053819,0.703791988039732,1.73270119760065,173.011056415292,0.084930745301552,-0.159971076019686,2.59889351709606
"watersourcetype25",3.94348457506285,1.02166358325622,3.85986604562559,173.016329657724,0.000159997520374766,1.94102395188066,5.94594519824504
"x2_1_responsible8",1.53923275864689,0.440607647536525,3.49343178052598,173.016329657724,0.000605485949139339,0.675641769475298,2.40282374781848
"x4_19_personrepair1",-0.822806073639786,0.255109223256895,-3.22530899955435,170.744923586423,0.00150812871618622,-1.3228201512233,-0.322791996056271
