"term","estimate","std.error","statistic","df","p.value","RR","RR_lcl","RR_ucl"
"(Intercept)",-0.108480158566031,0.0274691594774477,-3.94916191939161,12.720796970217,0.0017321120053686,0.897196696309373,0.850169352471054,0.946825370179244
"watersourcetype26",-0.402345465199959,0.25965596736656,-1.54953290417533,343.852296075058,0.122173535709729,0.668749676038828,0.40201287591433,1.11246717703973
"x3_1_d_primaryuse3",-9.98461969198008,20.3649774739525,-0.490283856427082,0.296332477255624,0.804763746105352,0.0000461035920666892,0.000000000000000000000213165037776721,9971340627059.5
