"term","estimate","std.error","statistic","df","p.value","RR","RR_lcl","RR_ucl"
"(Intercept)",-0.0267745069328628,0.017284611543426,-1.54903723844729,69.0268988717522,0.125945765761566,0.97358075248429,0.941150378016712,1.0071286201949
"avgprox3funcprotect",-0.0417824444959705,0.0238227978330642,-1.75388486225492,333.457344830193,0.0803688900221444,0.959078410664385,0.91532587621037,1.00492231423721
"prox_nwsc",-0.0350605838143214,0.0266434613646731,-1.31591700246608,331.709836257528,0.189110582991049,0.965546917970363,0.916418841665184,1.01730868945041
"proxaltfunc_nwsc",0.0648562867462175,0.0249591279673806,2.5984997084425,328.187152687324,0.00978556992080826,1.06700567050825,1.01606405754153,1.12050130348226
"prox_tc",-0.024798674414192,0.0127873242798215,-1.93931692600653,276.622935516189,0.0534794264347054,0.975506286634669,0.951360864948138,1.00026451615249
"riskofcontamination10",-0.0305263819876507,0.0148340945610457,-2.05785272987358,303.245904447621,0.0404587685434918,0.969934842920618,0.942140177276648,0.998549496350793
"precip2_mm_cumsum",0.0214400097258189,0.0137996180975882,1.55366688948921,327.787362964958,0.121228844425605,1.02167149814564,0.994408449492655,1.04968200004304
"tempC_avg_rollmean",0.0317113512771613,0.0136933667063458,2.31581845116772,300.830400351499,0.0212404281726561,1.03221951345546,1.00488424174396,1.06029837039648
"watersourcetype24",-0.146805855099852,0.0519272658821946,-2.82714394077487,334.258748997274,0.0049794257797755,0.863461597810159,0.77990489499277,0.955970318534524
"x3_1_d_primaryuse2",-0.0964203058956227,0.0630161164437898,-1.53008962368586,67.0606314130209,0.130698353371223,0.908082263518835,0.802573456068304,1.027461587575
"x3_1_d_primaryuse3",-0.252334736907767,0.205474453527885,-1.22805892691435,19.9666069581165,0.233705398527871,0.776984609108557,0.519408473524914,1.16229348107202
"x3_1_d_primaryuse4",-0.06539922810947,0.0380986035151243,-1.7165780914649,61.6433310313809,0.0910778034352266,0.936693434371968,0.869295217035894,1.00931717188929
"x4_3_a_authorizedlist1",0.0614431144510242,0.0260887092790958,2.35516114629162,312.74777840975,0.0191321088637013,1.06337000442179,1.01036256760623,1.11915841160168
