"term","estimate","std.error","statistic","df","p.value","RR","RR_lcl","RR_ucl"
"(Intercept)",-0.633534952257922,0.110189087991527,-5.74952532783135,321.693474333419,0.0000000208024397707618,0.530712438103472,0.427626313222592,0.658649113136126
"prox_tc",-0.173371484420548,0.061509113438312,-2.81863084556443,177.04000839387,0.00537201784422514,0.840825203356765,0.745329149502583,0.948556786047846
"proxmarsh",-0.11256462958077,0.0621979002227243,-1.80978182828821,245.543147600778,0.0715522816996281,0.893539596152825,0.790987974674374,1.00938703931831
"landcover_un_developedor_developed1",0.272023284256231,0.123885050608378,2.19577166833587,304.575172837874,0.0288622056352024,1.31261756427899,1.02963933946538,1.67336736662405
"topography2",-0.424057044075248,0.15067753573518,-2.81433487749986,216.890125385014,0.00533737756387564,0.654386551968431,0.487051693791877,0.879212134677672
